"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"threitol",-0.206548868039892,0.453671340438136,0.131900028859378,1.79027222641831,-0.28829489721256,1.79935470465712,0.233022850670839,-1.29876189554039,-0.158408892928749,-0.78543380315918,-0.372010898622639,-1.29876189554039
"taurine",0.99153183593688,0.798150781176618,1.32028094383423,0.595728217434082,0.621068361261426,0.392702168049944,-1.07198980040557,-0.719177447501238,-0.921682457847877,0.568994338148497,-1.82879245743189,-0.746814482655113
"sucrose",-0.100890906358633,0.313824547808177,-0.23209530142258,0.482116650957484,0.0330807469179032,2.25010921945344,-0.89398328475755,0.891815712104513,-1.49783646707309,-1.29118476707324,-0.109228999494192,0.154272848937773
"succinic acid",1.64754608557786,0.333352344512186,0.0766592966042045,-1.54494360869913,0.804594123197723,0.975367529801062,-1.10187449429503,-1.30246411364115,0.771752847679372,-0.471178371568636,-0.561872709019008,0.373061069850537
"stearic acid",1.0015782000235,0.279244380004528,-0.255061271103779,-0.973281610183057,0.826825679775434,1.5818705302322,0.181859507474918,0.716534289400223,-0.0876711554431936,-0.532479168201519,-2.12159113842342,-0.617828243555851
"squalene",2.28497017779506,0.451690447588842,0.596028248478882,-0.0293542459951021,0.0551422389781828,1.09576974401839,-1.14398397750718,-0.864676333538276,-0.214776339373657,-0.582351302355115,-1.15186425649934,-0.496594401590686
"shikimic acid",-0.250260847359514,-0.732430326553684,-0.550915729036103,-0.372298602999826,1.04401545685482,-0.203502992995982,0.166067651660115,0.608060698669775,-0.0401438102123858,2.43392529623622,-0.667715305689087,-1.43480148857435
"serine",1.08170149654849,0.708378924649001,0.543360548445816,1.01391107442363,0.751656517435172,1.01289938523741,-1.70481364079131,-0.10094434337645,-0.63443662903252,-0.534690509851855,-1.58110080495604,-0.555922018731331
"salicylic acid",0.62408020771114,-0.576835942947087,0.375468766809215,-0.183686045329277,0.503413169088274,2.47476610548014,-1.03632442699654,-0.773464573727964,0.503413169088274,-0.0186362299837006,-1.01313216174501,-0.879062037447459
"ribose",-0.981570320436629,0.145043101077383,-0.444722704274063,-1.40014278955734,0.367236705557319,-1.40953497844285,0.698917453233688,-0.470896909173587,1.80775740492481,0.123247058735185,0.27333571674169,1.2913302616144
"ribonic acid",1.53220814646467,0.460166052992402,0.582181539015291,0.319197141901314,0.560475009621967,1.65038419524161,-1.30476607540711,-0.70205285271417,-0.899590913417892,-0.434430977238852,-0.555441406539381,-1.20832985991984
"ribitol",-2.60938729002753,0.0929886527411654,-0.306728010194355,-0.223513455138611,0.737718087380604,0.108172794577394,0.300476587457813,1.4687325966773,-0.513830821724885,0.212872348685648,-0.207077009530724,0.939575519096176
"pyruvic acid",-0.853478711446331,-0.581386719297841,-1.31916945819293,0.0357518354412358,1.00507239189178,-0.559257503194423,1.11645032060218,0.670486981200267,0.584897967421668,1.01888892479185,-1.81762616590125,0.699370136683792
"pyrrole-2-carboxylic acid",0.145715085711581,-0.0540263493400956,-1.74495568586894,-0.009228646735041,-0.203014509641003,-0.381956672937558,-0.771406583514408,0.436945940105804,0.0951249854584135,1.31744045738521,-0.920210243922677,2.0895722232987
"pseudo uridine",0.152363380510335,0.55695388351449,0.0938067245232798,0.131877862439617,0.280964989099819,0.152363380510335,1.61077128892324,0.00469028659014924,0.169286859935461,0.306420471268338,-0.771361443213595,-2.68813768410146
"proline",0.833275836195762,0.496367072394142,0.89959442057872,0.986376690693523,0.520546751116192,0.559132626923722,-2.09410188482611,-0.366239378745411,0.495525024736826,-0.318028974999583,-1.63963094617756,-0.37281723789023
"piperidone",-0.469833931770836,-0.345230443347303,0.123736463617586,0.0210727655453348,-0.378072091094052,2.25669780974982,-1.2563600264188,0.138850480302003,0.655390917187286,1.14447191873897,-1.32232490819282,-0.568398954317194
"pipecolinic acid",-0.513086615393449,-0.513086615393449,-0.283781893857826,2.09735046612457,0.221454679335327,-0.08018771618902,-1.29073246037659,-0.322870958519976,1.56522695628352,-0.277368097175758,-1.15578361591316,0.552865871075813
"phthalic acid",0.731554438836957,-1.75352826368487,-1.23901329411568,0.095543252666939,0.677792576170206,-0.296866895080248,0.794875570924707,-0.0276198688902614,-1.05943397703802,0.510747191030268,-0.230978005715205,1.79692727489518
"phosphate",0.75052049588924,1.10559716687661,-0.641622592810491,1.18187537106997,0.899437559333001,0.662796126948271,0.0287882711181702,0.313454069840434,-0.199525423755988,-0.855163081953375,-1.719544124243,-1.52661383831285
"phenylalanine",-0.455416873160798,0.191257044621378,-0.560562331766164,0.0684120140261478,-0.456961132747397,0.667565592329515,-2.30983900574841,1.04910395452678,-0.68094300597939,0.60312907894477,0.332202188783011,1.55205247617054
"pelargonic acid",0.0779712275109042,0.279231895934162,-0.253591088733761,-1.72897926990806,0.588240357479291,0.715634785694896,-1.75211951195653,1.25943946500794,1.39747513548464,-0.287610406573777,0.218642661831217,-0.514335251770932
"parabanic acid NIST",0.181416868614863,0.799005016775598,-0.672123979836521,1.55572653618409,-1.16480843194317,-0.107159433401024,0.973946168301061,0.271934533384521,-0.90859282601438,1.31340063360122,-1.13454333122436,-1.10820175444191
"palmitoleic acid",-1.62667532751548,-0.793053032162312,0.533665610495856,-1.25114503362335,0.140425127569146,-0.430282175373648,2.02527973304966,1.04191786083251,0.41060659973024,0.240326158515386,-0.472568373656615,0.181502852138607
"palmitic acid",-0.535068539471407,-0.311667537928963,-0.115627190769224,-1.38670565122268,0.585191687984919,-0.291042968302005,1.83825480124316,1.43813316218601,0.17692920214446,-0.293400505426137,-1.57175859391119,0.466762133473063
"oxoproline",-0.126787716936754,0.931690177493706,0.623206821980482,0.67355682302363,-0.214234269050953,1.05927940772767,-2.0581565624025,-0.312898790212746,-0.574940653239804,-0.852858182098207,-0.658117590405058,1.51026053412053
