"","Genotype.CUMS.model...Treatment.Albiflorin","Genotype.CUMS.model...Treatment.Albiflorin.1","Genotype.CUMS.model...Treatment.Albiflorin.2","Genotype.CUMS.model...Treatment.Albiflorin.3","Genotype.CUMS.model...Treatment.Albiflorin.4","Genotype.CUMS.model...Treatment.Albiflorin.5","Genotype.CUMS.model...Treatment.Albiflorin.6","Genotype.CUMS.model...Treatment.Albiflorin.7","Genotype.CUMS.model...Treatment.Saline","Genotype.CUMS.model...Treatment.Saline.1","Genotype.CUMS.model...Treatment.Saline.2","Genotype.CUMS.model...Treatment.Saline.3","Genotype.CUMS.model...Treatment.Saline.4","Genotype.CUMS.model...Treatment.Saline.5","Genotype.CUMS.model...Treatment.Saline.6","Genotype.CUMS.model...Treatment.Saline.7","Genotype.CUMS.model...Treatment.Saline.8","Genotype.CUMS.model...Treatment.Fluoxetine","Genotype.CUMS.model...Treatment.Fluoxetine.1","Genotype.CUMS.model...Treatment.Fluoxetine.2","Genotype.CUMS.model...Treatment.Fluoxetine.3","Genotype.CUMS.model...Treatment.Fluoxetine.4","Genotype.CUMS.model...Treatment.Fluoxetine.5","Genotype.CUMS.model...Treatment.Fluoxetine.6","Genotype.CUMS.model...Treatment.Fluoxetine.7","Genotype.Wild.type...Treatment.Saline","Genotype.Wild.type...Treatment.Saline.1","Genotype.Wild.type...Treatment.Saline.2","Genotype.Wild.type...Treatment.Saline.3","Genotype.Wild.type...Treatment.Saline.4","Genotype.Wild.type...Treatment.Saline.5","Genotype.Wild.type...Treatment.Saline.6","Genotype.Wild.type...Treatment.Saline.7"
"Histamine",-0.399037164155652,-0.487233304262816,-0.473571089320713,-0.332155437371634,-0.312250488116902,-0.597786283750421,-0.246422681223914,-0.33880666609683,0.193298239422805,-0.174921943637473,0.400490086891436,0.241358089138197,-0.022112962248392,0.532463548223626,0.0588976718538239,0.555091612524715,0.655767097427509,0.0403098810597559,0.0958834736664771,-4.90487106311723,0.526791769561568,0.283064375329493,-0.0158382907528101,0.60566264342573,-0.43956516997181,1.03044858710992,-0.480397900496629,0.819520033299747,0.481203022725649,1.03044858710992,0.577625784172829,0.819520033299747,0.277125908280369
"L-Histidinol",-1.25936634253922,-0.817725565190776,1.30829141605962,-0.333380820034009,0.843396801449147,-0.291602793507252,-0.980373702851554,-0.30544274952017,0.540705462445771,-0.493570473764064,2.33033510990744,1.68763828523418,-2.06759335117927,1.47156960996619,-0.291602793507252,-0.183846339088815,1.41414557748693,-0.617683936226113,0.413277854097948,-0.570335118852978,-0.666051085405034,-0.783125101884057,0.597168321427392,-0.539314133867804,0.988543016114915,0.492545468957566,-0.888565618698347,1.5398199323804,-0.906629858424545,-0.698883577338465,-0.58600755687387,-0.0684884507012007,-0.277847486072719
"L-Acetylcarnitine",-2.47884803175782,0.301091324629066,0.475035843877394,0.125100352338424,-0.324154435402535,-0.324154435402535,-1.96118184089773,0.213354650229688,-0.0529857997732865,0.213354650229688,-0.600329543046495,0.475035843877394,0.388316412013727,-0.233217619777379,-0.142830274669756,0.125100352338424,-0.142830274669756,-0.78732022913324,0.561255449150863,0.816972105198426,1.06839079825048,-0.142830274669756,-0.233217619777379,-0.0529857997732865,0.0363222870024213,-0.415647442959622,-0.324154435402535,0.0363222870024213,0.0363222870024213,4.13807745126381,-0.142830274669756,-0.142830274669756,-0.507703487952208
"Cytosine",-0.514458593524617,-0.643450451494455,-0.514458593524617,-0.430119991104767,-0.305996174507279,-0.643450451494455,-0.265238358284693,-0.388432329908499,0.275669189905939,-0.22478134049447,0.164169053953441,0.275669189905939,0.0503538716646744,0.562369869507532,0.126492609912498,0.562369869507532,0.700286603469422,0.0885554271605108,0.201588318897959,-4.8307576848042,0.527341628733684,0.456606440483915,-0.0658745322758598,0.76796525356966,-0.388432329908499,0.933594197552924,-0.4721271010951,0.867941903528386,0.492088124413583,1.03062152747002,0.597175707253611,0.76796525356966,0.238753891960556
"1-Methyladenosine",0.392507978129209,-0.414947295460207,-0.599824410326174,-0.445129094088243,-0.483204004530287,-0.407439954316905,-0.467927242714627,-0.752994128316032,0.446550859999308,-0.407439954316905,-0.703939972093474,0.581195588787589,0.337668366648725,0.626909052234275,0.470320182240039,0.598404037089232,0.793498960943034,-0.318514135422861,0.20647490108056,-4.71030650554316,0.621225496852198,0.19373555207515,0.416624018988928,0.404585541576158,0.129376052658467,0.575441703225965,0.534913358490376,0.711136490703252,-0.392470572852758,0.00393765614008977,1.56113906694139,0.0638834054307212,0.434608999746845
"3-Hydroxyisovaleryl Carnitine",1.17220982540924,0.556670137613817,-0.21217444866122,1.29538018790857,0.0178696959265858,0.235244274429339,-0.650129385733346,0.0178696959265858,-0.519964601172544,1.00176720572605,-0.153394591006484,0.762422764312316,0.474588715843082,-1.67712428076617,0.235244274429339,0.668790529662121,-0.231963834341043,0.305121747759276,0.524042066141958,-3.63704428837866,0.252829934583422,-0.172890799401604,-0.192483763569574,0.390764459147883,0.05494014835526,0.762422764312316,-0.477512856910613,-1.7638964369277,-0.21217444866122,2.07535449227551,-0.251852915079704,-0.650129385733346,-0.000796883419592081
"Adenosine",0.553294444096005,-1.34737832050383,0.905293848625963,-0.674452428817841,-1.00643136275204,0.72484543223498,1.11751220299767,0.484329418465474,1.22817745977162,-1.17249429426558,0.862208073691086,0.612721923154738,0.754536231806442,-0.67755239414705,0.213886119961663,-1.52913820730748,1.3070600269874,0.448599271939163,0.389568082114446,-1.54860895292248,1.10365686219504,0.921132100368656,1.04689667390207,-1.64104358009432,-1.9335109136351,0.382020326762607,-0.193748653573562,0.17956869058873,-1.3183495229285,0.320206767249899,-1.28284862166093,0.144434103252789,0.625609192442254
"Riboflavin",-2.08470372716592,-0.862505854544437,-0.999634957381898,-0.83253646092747,-1.85820284775157,-1.12147982090499,-1.95774280061952,-1.46914012538006,0.511301055132576,0.474940755518762,0.683119794670514,1.30469985074853,0.152945437212573,1.1834595628501,-0.247774574093737,0.999191607962206,-0.226212518742804,0.985301536523882,1.08041550615317,-1.19681484001326,0.985301536523882,0.225757030530651,0.885043830263369,-0.426951248644304,-0.0257564899362019,0.79457145471352,0.263177230421295,0.957205304067654,0.126549036082226,1.09361353956647,-0.475353758304958,0.283644500756305,0.79457145471352
"Normetanephrine",-0.367803604184567,-0.0301593389231273,-1.50844124945725,-0.153431163696462,0.280974677510698,-1.01217886008672,-0.111913252198597,-0.736900086487098,0.205450026033818,0.108975088390712,-0.216534739490559,0.03006851765717,-0.688839809330158,-0.216534739490559,0.838371472374484,1.07491820862369,-0.45690677687511,0.569460010757107,-0.132617864883163,-2.28455368366335,0.706195088939188,0.167141280489566,1.76192747013925,2.03547898415188,-0.0301593389231273,-1.09069477863814,-1.22511186533693,0.499282527075475,-0.665026378471901,-1.33602607160261,2.22320276912925,0.552031743929743,1.21035573653754
"Hydroxykynurenine",-1.25254708437213,-1.32346277395458,-1.29756347703828,-0.70594652289444,-0.290520472311719,-0.694427793830661,-0.441766563731836,-0.591888956830679,0.856556824859123,0.726785239129094,0.770402420690835,0.548572228907411,0.364049498275257,-0.128034809781406,0.457127378484844,1.34556107799971,0.2212399408622,0.0245289436237717,-0.301179418316817,-3.19274207991552,0.856556824859123,0.856556824859123,1.72070299230492,1.02470762581671,-1.63093940824914,0.682799975735341,-0.485798274629592,0.316879739422716,-0.327922538966435,1.065911182524,0.548572228907411,0.457127378484844,-0.179898150923232
"Ethanolamine",0.114997760488047,-0.394075888300753,-0.224023044961083,0.447272630752433,0.420356922556574,0.352469896421733,-0.0297736107889695,-0.285237593073082,0.420356922556574,1.17422865756097,-0.300651171076039,-3.25196515633858,-0.667987143522826,-0.224023044961083,0.100695443152236,0.325072319244423,0.114997760488047,1.58036782884582,0.433831683524166,-1.52681679643426,0.98334111867107,0.0863548330871111,-2.23096159176116,0.513976041506734,0.406848177288254,0.447272630752433,0.709242427893639,0.143488331171797,-0.239261219277946,-0.870132441527283,2.06810455105445,0.393305275864078,-0.991672510857614
