"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"salicylic acid",7.63662462054365,6.82017896241519,7.467605550083,7.08746284125034,7.55458885167764,8.89481776330794,6.5077946401987,6.68650052718322,7.55458885167764,7.19967234483636,6.52356195605701,6.61470984411521
"ribose",7.8073549220576,8.81057163474115,8.28540221886225,7.43462822763672,9.00842862207058,7.4262647547021,9.3037807481771,8.26209484537018,10.2911706993219,8.79116288855502,8.92481250360578,9.83130724380205
"ribonic acid",8.3264294871223,7.65105169117893,7.7279204545632,7.56224242422107,7.71424551766612,8.40087943628218,6.53915881110803,6.91886323727459,6.79441586635011,7.08746284125034,7.01122725542325,6.59991284218713
"ribitol",7.05528243550119,8.03342300153745,7.88874324889826,7.91886323727459,8.2667865406949,8.0389189892923,8.10852445677817,8.53138146051631,7.81378119121704,8.07681559705083,7.92481250360578,8.33985000288462
"pyruvic acid",8.55842071326866,9.02790599656988,7.75488750216347,10.0927571409199,11.7652860987237,9.06608919045777,11.9574648468052,11.1879705919842,11.0402897210257,11.7891260464252,6.89481776330794,11.2378074737231
"pyrrole-2-carboxylic acid",8.22881869049588,8.11374216604919,7.13955135239879,8.13955135239879,8.02790599656988,7.92481250360578,7.70043971814109,8.39660478118186,8.19967234483636,8.90388184573618,7.61470984411521,9.34872815423108
"pseudo uridine",9.30606168942834,9.57742882803575,9.2667865406949,9.29232163280204,9.39231742277876,9.30606168942834,10.2842457498297,9.20701432017753,9.31741261376487,9.4093909361377,8.68650052718322,7.40087943628218
"proline",16.2219835360692,15.8764450018669,16.2900008419401,16.3790060018886,15.9012440324674,15.940818268581,13.2196223170712,14.9917432643491,15.8755813855277,15.0411885564681,13.6857343297306,14.9849969162237
"piperidone",6.8073549220576,6.94251450533924,7.45121111183233,7.33985000288462,6.90689059560852,9.76487159073609,5.95419631038687,7.467605550083,8.02790599656988,8.55842071326866,5.88264304936184,6.70043971814109
"pipecolinic acid",7.59245703726808,7.59245703726808,7.82017896241519,10.1848753429083,8.32192809488736,8.02236781302845,6.82017896241519,7.78135971352466,9.65642486327778,7.82654848729092,6.95419631038687,8.65105169117893
"phthalic acid",10.2008986050384,9.05799172275918,9.29462074889163,9.90839262077375,10.1761731491075,9.7279204545632,10.2300204357056,9.85174904141606,9.37721053038855,10.0993478104032,9.75822321472672,10.6908710092923
"phosphate",13.0655844280615,13.3381792499001,11.9968265280207,13.3967385560478,13.1799090900149,12.998237821888,12.5115055957925,12.7300455028792,12.3362275894834,11.8328900141647,11.1692986957928,11.3174126137649
"phenylalanine",14.1982915550922,14.4554556596584,14.156478151199,14.4066036317279,14.1976774463074,14.6448702282692,13.4608398130301,14.7965973484979,14.108606128778,14.6192456316831,14.5115055957925,14.9966058885902
"pelargonic acid",13.367824239411,13.4286218860911,13.2676645375011,12.8219732354811,13.5219684272377,13.5604522576669,12.8149829364268,13.7247270015344,13.7664253819912,13.2573878426927,13.4103188422005,13.1888978732422
"parabanic acid NIST",10.0714623625566,10.7347096202258,9.1548181090521,11.5473765634981,8.62570884306447,9.76155123244448,10.9225844027137,10.1686721181322,8.90086680798075,11.2871351860867,8.6582114827518,8.68650052718322
"palmitoleic acid",5.90689059560852,7.02236781302845,8.79766152585376,6.4093909361377,8.27146302790437,7.5077946401987,10.7936033092794,9.47775826644389,8.63299519714296,8.40514146313634,7.45121111183233,8.3264294871223
"palmitic acid",14.0151536709129,14.1003338191265,14.1750816748283,13.6904345563951,14.4422955886025,14.1081977225358,14.920073669146,14.7675120410285,14.2866299523078,14.1072988216345,13.619876067504,14.3971398062356
"oxoproline",16.2276535444422,16.7255393410922,16.5804352420636,16.6041188263053,16.1865205207931,16.7855546384104,15.3191781560476,16.140110799836,16.0168518046171,15.886125229233,15.9777271182714,16.9976866995236
"ornithine",14.698596156745,14.0444795036121,14.7952279660287,14.3057055299872,14.6152847833652,14.6271348538961,11.5971214287896,14.6860627498954,14.2932560906475,14.6162042098543,14.0691140617739,15.4163027366231
"oleic acid",9.89178370321831,11.3381792499001,7.56224242422107,10.8525295094042,12.0416591516372,9.16239132875691,13.6760672590977,13.0180262658432,7.11894107272351,12.3052067590087,10.1598713367784,12.1567151442247
"N-methylalanine",13.5954906066076,12.3014961949825,13.9796038240745,13.6011904372028,13.0691140617739,12.4202234193486,12.7511255833673,12.7429409506666,13.6810187399021,13.9262959947811,11.5444815223108,13.574475268799
"naproxen",6.95419631038687,7.12928301694497,6.85798099512757,7.4178525148859,7.45121111183233,7.05528243550119,8.65105169117893,6.89481776330794,7.76155123244448,7,11.1484765821783,7.29462074889163
"N-acetylmannosamine",4.24792751344359,7.06608919045777,7.84549005094437,6.37503943134692,7.33985000288462,7.33985000288462,5.75488750216347,6.68650052718322,7.37503943134692,7.18982455888002,6.75488750216347,6.58496250072116
"N-acetylglycine NIST",7.19967234483636,6.58496250072116,8.17492568250068,7.3037807481771,7.86418614465428,8.38370429247405,6.18982455888002,6.82017896241519,6.65821148275179,7.59991284218713,6.32192809488736,6.93073733756289
"n-acetylglutamate",8.95710204156229,9.90538700501813,9.02513956227851,9.403012023575,9.62753388447279,9.69348695749932,8.32192809488736,9.07948478382682,8.54303182025524,8.02790599656988,8.70735913208088,8.2045711442492
"n-acetyl-d-hexosamine",7.36632221424582,6.32192809488736,7.4178525148859,7.15987133677839,7.49185309632967,7.4594316186373,8.03342300153745,6.79441586635011,7.467605550083,7.5077946401987,6.96578428466209,7.64385618977472
"myristic acid",10.007027266894,9.40514146313634,9.82177398197057,9.36194377373524,9.88569637333939,9.81217730551445,10.8153832958135,10.0279059965699,9.63662462054365,9.84235034341381,8.80413102118332,9.69696752623429
"myo-inositol",12.3495576866205,12.707574829927,12.8197799318385,12.9216550107851,13.120399895989,13.2067091493586,12.1250905393033,12.7659076374886,12.5987504095718,13.023581108623,11.4444972871038,13.402479172215
"montanic acid",7.76155123244448,8.50382573799575,9.06339508128851,8.35314682549808,9.01680828768655,8.07146236255662,7.74819284958946,9.30149619498255,8.20945336562895,8.02790599656988,9.04984854945056,9.43671154213721
"methionine sulfoxide",11.8197799318385,10.7193888209421,11.0927571409199,10.7047682393626,10.0209799389042,11.3077700318907,8.83920378809694,10.3297963382207,9.63662462054365,10.5068034377956,10.1586096882145,10.0927571409199
