Factors,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline
Serotonin,859000,680000,840000,836000,477000,1210000,1260000,828000,1960000,550000,1310000,1210000,1370000,530000,1320000,1320000,2160000,305000,361000,265000,414000,402000,369000,289000,125000,2070000,1200000,2540000,378000,1700000,917000,1420000,1360000
Gamma-Aminobutyric acid,22000,24000,29400,20300,30600,27300,24100,22500,61500,32300,18500,27400,30000,38300,13800,24000,38700,38000,43300,22200,48700,17900,128000,33400,10300,31900,57000,41800,43600,33700,39100,35200,26500
L-Asparagine,847000,946000,794000,798000,1050000,984000,912000,1180000,1280000,1370000,792000,1120000,1260000,1030000,974000,968000,1030000,1520000,1610000,383000,1210000,998000,1390000,872000,620000,1130000,1020000,1220000,768000,1180000,1040000,905000,1130000
L-Glutamine,152000000,151000000,145000000,136000000,151000000,137000000,145000000,146000000,161000000,158000000,145000000,176000000,167000000,144000000,163000000,160000000,149000000,166000000,154000000,174000000,150000000,151000000,165000000,144000000,142000000,148000000,155000000,157000000,132000000,155000000,156000000,148000000,152000000
Pipecolic acid,121000000,108000000,117000000,128000000,130000000,123000000,123000000,126000000,148000000,131000000,132000000,156000000,129000000,133000000,141000000,147000000,130000000,159000000,145000000,45900000,136000000,141000000,164000000,143000000,102000000,133000000,135000000,153000000,105000000,139000000,142000000,136000000,140000000
Cysteine,77100,73500,76800,85200,72600,77900,84200,76600,92800,108000,106000,96900,78000,105000,86800,104000,84500,72900,75000,77500,106000,93800,105000,72800,77100,91900,78000,129000,94200,94200,92300,90900,72100
S-Adenosylmethionine,10500,5450,5360,7240,4490,5830,3670,5000,6530,10200,5240,9160,6720,6780,6380,7390,7250,2980,10500,13100,6330,4080,4700,9300,6190,5110,5130,5950,4280,6540,12300,8670,3670
L-Serine,4070000,5100000,5320000,4960000,5520000,4620000,4690000,6400000,5970000,5700000,3990000,6220000,4830000,4300000,4500000,4960000,4250000,7020000,6780000,2410000,5750000,4310000,6410000,4630000,3260000,5700000,5210000,5280000,3080000,6510000,5390000,4270000,4510000
L-Tyrosine,937000,938000,1070000,1210000,775000,872000,1230000,1330000,1640000,1510000,909000,2020000,1680000,1190000,1590000,1320000,1020000,2020000,1190000,951000,1020000,1290000,1450000,985000,918000,1330000,1280000,1650000,1140000,1750000,2250000,1250000,1590000
Phosphorylcholine,1860000,1800000,1280000,1850000,1530000,2140000,1150000,1310000,3590000,1980000,2360000,3780000,2630000,1470000,2160000,3870000,3330000,3150000,4680000,2050000,2090000,2630000,3050000,2490000,2080000,4300000,2500000,5470000,1410000,4020000,2300000,3560000,2810000
Ornithine,82600,91800,147000,223000,155000,135000,124000,153000,154000,198000,92500,217000,152000,92300,128000,186000,94100,359000,184000,156000,138000,106000,144000,106000,88800,219000,92500,136000,87900,115000,183000,111000,177000
L-Kynurenine,316000,307000,265000,288000,274000,518000,333000,339000,324000,417000,330000,544000,547000,269000,414000,458000,345000,470000,306000,130000,282000,286000,325000,372000,310000,423000,288000,339000,393000,429000,1670000,293000,872000
Glycine,303000,293000,352000,296000,333000,357000,320000,381000,380000,353000,288000,485000,374000,393000,320000,379000,283000,496000,319000,223000,452000,318000,470000,327000,284000,408000,460000,442000,258000,331000,363000,291000,405000
Carnosine,917000,1080000,822000,1030000,1950000,1290000,177000,302000,1110000,1450000,371000,545000,434000,162000,593000,714000,370000,537000,1380000,415000,1920000,1010000,2240000,728000,697000,830000,992000,836000,1000000,349000,1010000,737000,1360000
Histidine,5960000,5450000,6790000,6690000,7470000,6760000,7240000,7140000,10500000,8770000,6630000,10100000,8510000,8250000,7170000,9150000,6900000,10200000,9110000,3010000,8920000,7650000,11000000,7070000,4900000,10200000,7010000,9850000,6450000,9760000,9190000,7780000,8390000
Lysine,116000000,114000000,118000000,115000000,122000000,114000000,118000000,121000000,143000000,141000000,117000000,158000000,142000000,123000000,143000000,138000000,124000000,151000000,134000000,94300000,128000000,130000000,145000000,121000000,108000000,118000000,121000000,135000000,108000000,125000000,134000000,129000000,130000000
Saccharopine,510000,447000,478000,510000,548000,509000,504000,494000,610000,600000,516000,712000,638000,489000,708000,656000,471000,1350000,531000,1390000,528000,519000,788000,489000,457000,563000,562000,572000,461000,485000,775000,530000,677000
Dopamine,318000,208000,255000,233000,247000,273000,261000,287000,191000,185000,443000,245000,266000,277000,570000,230000,273000,340000,274000,378000,301000,381000,462000,228000,296000,285000,247000,204000,446000,261000,298000,226000,196000
Spermidine,139000,80800,128000,118000,171000,166000,167000,133000,121000,129000,172000,135000,155000,132000,160000,135000,141000,136000,125000,63300,141000,146000,118000,150000,137000,115000,142000,66400,105000,132000,146000,148000,137000
L-Glutamic acid,3590000,4430000,4700000,4380000,5060000,4890000,4730000,5490000,8020000,5950000,5380000,9000000,7360000,4420000,5820000,7530000,5410000,7970000,5900000,2590000,5610000,5200000,6680000,3430000,3720000,6450000,4820000,6400000,5030000,11600000,8040000,7540000,5910000
8-Hydroxy-deoxyguanosine,72500,72200,58700,67800,73500,53700,64700,44500,74800,78900,58700,82100,98700,68500,87000,76500,113000,86000,82000,324000,156000,57300,87400,65000,83100,81700,119000,73600,66100,41600,133000,104000,80900
Oxidized glutathione,7400,8000,9730,5740,8110,7800,3420,6100,17200,16500,3790,16700,8420,3390,15400,18000,5990,12300,22200,16800,10900,5940,11000,6170,8570,6620,5290,7890,8920,4580,1790,5460,14800
Epinephrine,281000,347000,340000,269000,353000,307000,255000,345000,283000,393000,299000,341000,277000,290000,282000,319000,281000,362000,323000,134000,429000,311000,283000,355000,369000,224000,275000,292000,296000,447000,339000,265000,283000
5-Hydroxyindoleacetic acid,2860000,4060000,2710000,4720000,4380000,3060000,3040000,2200000,3620000,3950000,2530000,5430000,6360000,1780000,4700000,5530000,2070000,3410000,7900000,3600000,4060000,3000000,4310000,3330000,3420000,4400000,2040000,11100000,3710000,2010000,5900000,30400000,3660000
Adenosine monophosphate,1270000,1210000,1570000,1100000,1050000,2890000,2720000,2090000,3940000,496000,1770000,1970000,1830000,389000,2190000,2860000,5810000,1280000,1340000,1470000,1130000,2780000,1380000,558000,450000,4630000,1850000,5360000,769000,2320000,1270000,1180000,922000
5-Methyltetrahydrofolic acid,19800,22300,4860,37400,32200,20600,5470,2800,48100,41200,5780,63300,109000,28600,56300,60400,21600,4910,132000,59000,39300,13300,72100,36400,18000,61200,19700,54100,16500,30900,113000,47900,60200
Cysteine-S-sulfate,90300,50900,51700,97800,173000,38300,155000,139000,25800,15500,45400,55100,13700,41800,29800,35200,83200,92100,19600,4160,124000,64000,114000,95500,67900,74800,180000,76900,44000,81100,66100,35300,35600
Cortisol,69300,65500,63600,65500,36500,67700,40000,72200,73100,75500,85000,74800,71200,41400,53900,32000,65100,50900,58300,78600,72200,72700,68700,84700,99600,25500,90500,27300,99000,28400,79000,71100,37000
Hypotaurine,19100,38100,22200,24100,50900,31100,26500,21600,58900,56100,33600,34000,40300,28300,50000,53100,46900,42300,66400,367000,55100,33300,40700,33400,16800,55700,50800,49500,29200,25000,79400,33800,44000
1-Methyladenine,73000,93300,92600,85300,145000,73400,65100,85700,68400,70800,98900,91100,74300,190000,122000,86700,151000,65100,49500,21300,109000,113000,124000,121000,97300,128000,96900,116000,118000,75300,126000,113000,103000
N-alpha-Acetylarginine,623000,1070000,887000,1320000,962000,650000,1090000,802000,615000,562000,881000,759000,1300000,755000,801000,1640000,512000,2190000,1080000,181000,686000,995000,1420000,1710000,1160000,1570000,1770000,2150000,581000,2570000,2210000,1460000,3000000
Homoarginine,749000,746000,896000,1040000,873000,1040000,853000,905000,1190000,1230000,930000,1050000,770000,1140000,9510000,8570000,859000,1810000,976000,387000,1160000,950000,1310000,1230000,525000,1460000,1270000,1050000,803000,1590000,1550000,1220000,1090000
